Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6,Choice_7,Choice_8,Choice_9,Choice_10,Choice_11,Choice_12,Choice_13,Choice_14,Choice_15,Choice_16,Choice_17,Choice_18,Choice_19,Choice_20,Choice_21,Choice_22,Choice_23,Choice_24,Choice_25,Choice_26,Choice_27,Choice_28,Choice_29,Choice_30,Choice_31,Choice_32,Choice_33,Choice_34,Choice_35,Choice_36,Choice_37,Choice_38,Choice_39,Choice_40,Choice_41,Choice_42,Choice_43,Choice_44,Choice_45,Choice_46,Choice_47,Choice_48,Choice_49,Choice_50,Choice_51,Choice_52,Choice_53,Choice_54,Choice_55,Choice_56,Choice_57,Choice_58,Choice_59,Choice_60,Choice_61,Choice_62,Choice_63,Choice_64,Choice_65,Choice_66,Choice_67,Choice_68,Choice_69,Choice_70,Choice_71,Choice_72,Choice_73,Choice_74,Choice_75,Choice_76,Choice_77,Choice_78,Choice_79,Choice_80,Choice_81,Choice_82,Choice_83,Choice_84,Choice_85,Choice_86,Choice_87,Choice_88,Choice_89,Choice_90,Choice_91,Choice_92,Choice_93,Choice_94,Choice_95,Choice_96,Choice_97,Choice_98,Choice_99,Choice_100,Subj,Study
3,3,3,2,1,4,2,1,2,1,2,2,2,2,2,2,1,3,3,3,3,3,2,2,2,1,1,1,4,3,2,1,4,2,1,3,3,3,2,1,4,4,3,2,1,2,3,3,4,2,1,3,3,2,4,1,2,3,4,1,2,4,3,4,1,2,2,1,4,3,2,2,1,3,4,2,3,3,3,2,1,4,3,2,1,4,2,3,1,2,4,1,2,2,3,4,1,2,4,2,11,Horstmann
3,3,4,4,3,4,4,1,4,2,3,3,3,3,1,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,4,3,3,4,4,2,2,3,1,4,2,1,2,3,4,4,3,1,2,2,3,3,4,1,1,3,2,2,4,4,3,3,1,1,2,2,3,3,4,4,1,3,3,1,1,4,4,3,3,3,4,4,2,2,2,3,3,4,1,4,3,2,1,2,3,1,12,Horstmann
1,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2,3,2,3,4,4,4,4,4,4,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,3,3,3,3,3,3,2,2,4,4,4,1,4,4,4,2,2,4,4,4,4,4,4,4,4,4,3,3,4,13,Horstmann
4,3,1,2,2,2,3,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,1,3,3,2,2,2,1,1,3,4,3,3,3,2,2,2,2,3,3,1,1,1,3,3,4,4,4,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,14,Horstmann
3,4,1,2,2,2,2,2,2,4,2,2,2,2,1,4,4,3,4,3,4,3,4,3,2,2,4,2,4,2,4,2,3,4,1,1,3,4,1,2,3,4,1,2,3,1,4,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,4,1,2,3,4,1,2,3,4,1,2,2,15,Horstmann
4,4,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16,Horstmann
2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,4,2,2,4,2,4,2,2,3,2,2,2,3,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,17,Horstmann
2,1,4,3,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,1,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,2,18,Horstmann
1,3,2,4,2,2,2,2,3,4,2,2,1,1,3,4,2,1,3,1,2,4,1,3,2,2,2,4,2,4,1,2,3,2,4,1,2,4,4,3,1,2,2,1,4,2,4,1,2,1,4,2,1,2,3,4,1,2,3,1,4,2,3,2,1,4,2,3,3,2,4,1,2,2,3,4,2,1,2,4,3,1,2,2,2,4,2,1,3,2,4,2,3,1,2,2,4,2,4,2,19,Horstmann
1,3,3,4,2,2,2,4,2,2,3,4,2,2,4,3,4,2,2,4,3,2,2,1,2,2,3,2,4,1,4,2,2,3,4,2,4,2,4,2,4,3,4,2,4,3,3,2,4,2,2,4,3,4,2,2,4,3,4,2,2,2,2,4,3,4,2,2,4,3,4,2,2,4,3,4,2,2,4,3,4,2,2,4,3,4,2,2,4,3,2,2,4,3,2,2,4,2,2,4,20,Horstmann
4,4,4,4,1,2,4,3,1,1,4,4,4,2,1,1,4,3,1,1,1,1,1,1,4,2,3,3,1,1,1,4,1,4,2,3,4,2,1,2,4,2,3,3,1,4,1,2,4,3,3,4,1,2,4,1,3,3,3,3,3,2,3,2,4,2,1,1,4,2,2,2,2,2,4,2,3,1,1,2,4,2,4,2,4,2,4,2,2,2,1,4,4,4,2,3,2,1,2,4,21,Horstmann
4,4,1,4,4,4,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,4,4,2,4,2,3,2,4,2,1,2,3,4,1,2,4,2,1,2,2,4,3,2,1,1,1,1,2,2,2,2,1,2,3,4,4,4,2,1,2,2,2,3,2,4,2,2,3,2,1,2,2,2,4,4,4,2,4,4,2,2,1,2,3,2,3,3,2,3,2,3,3,2,3,4,4,2,3,3,22,Horstmann
3,2,1,4,2,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,2,4,3,1,2,4,4,2,4,2,4,2,3,4,2,3,2,4,1,4,4,2,2,2,2,4,4,4,2,4,2,2,4,4,2,2,4,4,4,2,2,4,4,4,2,2,3,3,3,3,1,1,1,2,2,2,4,4,2,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,23,Horstmann
2,2,2,1,3,2,4,1,2,2,1,2,1,3,4,4,4,2,1,4,2,2,3,4,4,1,2,2,4,3,4,2,4,2,2,3,1,2,3,4,4,4,2,2,1,1,2,4,4,2,2,3,3,3,1,2,4,2,1,3,4,2,1,3,3,4,4,2,1,3,4,2,1,2,3,4,2,2,3,4,4,2,1,3,4,2,1,3,3,4,4,2,2,1,3,2,4,1,3,3,24,Horstmann
2,2,2,2,2,2,2,2,2,4,2,1,2,4,2,4,2,3,2,4,2,3,2,1,1,4,1,3,2,1,4,4,3,3,3,3,1,2,1,3,2,1,4,1,3,1,1,4,3,3,3,1,3,4,4,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,25,Horstmann
3,1,4,2,2,1,1,1,3,4,4,4,4,4,4,4,4,3,1,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,4,2,1,4,4,3,1,2,4,4,3,4,1,2,4,4,3,1,2,4,4,3,1,4,4,3,1,2,4,4,4,3,3,26,Horstmann
4,4,4,4,4,3,1,2,1,2,3,1,2,4,3,2,4,1,3,2,2,1,3,2,4,3,3,1,2,1,4,3,2,2,2,2,4,1,1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,3,1,2,4,3,1,2,4,3,1,2,4,1,2,4,1,2,4,3,1,2,4,3,1,2,4,3,1,2,2,2,3,4,1,1,1,2,2,27,Horstmann
2,2,4,3,1,2,2,2,4,3,1,2,3,4,2,2,2,2,1,3,4,4,4,4,4,4,4,3,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,1,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4,2,28,Horstmann
1,1,1,4,1,2,4,4,1,3,3,1,4,1,2,2,2,1,4,4,4,3,1,2,2,4,2,1,4,1,4,2,2,4,2,3,1,1,1,4,1,2,2,2,4,4,1,2,4,2,1,2,1,2,4,1,4,2,3,2,4,1,4,2,3,2,4,1,4,1,2,1,4,2,3,2,4,1,4,2,3,2,4,2,4,1,4,2,3,4,1,2,4,1,2,4,3,2,4,1,29,Horstmann
4,4,4,3,2,1,1,2,1,2,1,2,3,2,2,4,2,1,2,1,4,3,2,1,4,3,2,1,4,2,1,4,2,4,2,4,2,4,2,4,2,4,3,4,2,4,2,4,3,2,4,3,2,1,2,4,3,2,2,4,2,3,4,2,4,3,4,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,4,3,3,3,2,3,2,2,2,3,2,2,2,3,4,3,30,Horstmann
3,4,2,1,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,31,Horstmann
2,3,4,1,1,1,2,2,2,3,3,3,3,4,4,3,2,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,2,3,4,4,1,1,4,2,2,2,2,3,4,1,1,1,1,1,1,1,2,2,2,3,4,4,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,32,Horstmann
2,4,3,1,1,2,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,4,2,2,33,Horstmann
3,4,2,2,2,1,2,2,2,2,2,3,4,4,2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,4,4,4,2,2,2,4,2,4,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,4,4,3,1,1,1,4,4,4,4,3,1,3,1,4,2,4,2,1,2,4,1,2,4,2,4,2,2,2,2,4,4,4,3,4,1,1,2,4,2,4,2,4,34,Horstmann
1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,3,1,1,2,4,3,2,1,4,3,2,1,3,4,1,2,1,3,4,2,1,2,3,4,1,2,4,3,2,1,2,4,3,2,1,3,4,2,3,4,1,2,4,3,2,4,2,1,2,2,4,3,1,2,4,3,1,4,3,3,2,1,3,4,1,3,2,4,3,1,3,4,3,1,3,1,3,1,4,35,Horstmann
2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,2,2,3,3,4,4,1,1,2,2,3,3,3,3,3,4,2,1,1,1,1,1,1,2,2,4,2,2,4,1,1,1,1,2,2,2,4,4,2,2,1,1,2,2,2,2,2,3,3,4,4,4,4,2,2,1,1,2,2,4,4,36,Horstmann
1,4,3,2,1,4,3,1,2,4,3,2,2,2,2,2,2,2,2,4,2,3,2,1,4,1,2,1,4,3,2,1,2,4,3,1,2,4,3,1,2,4,3,2,1,4,3,2,1,4,2,2,4,4,4,4,4,3,4,4,4,4,3,2,1,4,4,4,1,2,4,2,3,1,2,2,1,4,4,3,2,4,2,1,2,1,2,4,3,1,2,4,3,2,1,2,1,2,4,2,37,Horstmann
1,4,2,3,4,3,4,3,1,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,3,1,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,4,4,4,4,4,4,4,38,Horstmann
4,2,3,3,3,3,3,1,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,3,1,1,1,1,1,1,4,4,4,4,4,2,2,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,2,39,Horstmann
3,1,3,4,4,4,2,2,2,4,2,2,2,2,4,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,2,1,4,3,3,2,2,4,4,2,3,2,4,3,3,2,4,3,2,3,4,4,2,4,2,2,3,2,4,4,4,3,4,3,3,3,2,2,3,2,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,2,3,4,3,3,3,40,Horstmann
1,3,1,1,2,4,2,3,2,2,2,2,2,2,1,3,2,4,2,1,4,4,4,4,4,3,3,3,1,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,4,4,4,4,2,2,1,2,3,3,4,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,2,1,3,3,4,2,1,3,2,41,Horstmann
1,2,3,1,4,2,2,3,4,2,1,3,2,2,4,1,4,4,2,3,2,1,4,3,2,2,2,2,1,1,1,4,3,3,3,3,1,1,1,1,1,1,1,2,4,3,2,4,2,1,4,3,2,1,2,3,2,2,4,1,2,3,4,3,2,1,4,3,3,4,1,2,2,4,1,1,3,2,2,3,3,2,1,2,4,2,1,2,4,2,2,3,2,4,2,1,2,1,2,1,42,Horstmann
1,3,2,4,4,3,1,1,2,3,3,4,2,2,1,2,2,1,2,2,3,4,2,2,2,3,4,4,2,1,2,2,3,1,4,4,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,1,3,3,3,3,3,3,1,1,1,1,4,3,3,3,3,3,3,3,1,1,1,4,4,4,4,4,4,4,2,2,2,2,2,2,43,Horstmann
2,1,3,4,1,1,1,2,2,2,2,2,2,2,2,2,3,1,4,4,4,2,2,2,2,2,1,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,44,Horstmann
3,2,1,3,4,2,1,4,3,1,2,4,3,2,1,4,3,2,1,4,3,2,1,4,2,1,3,2,1,4,3,1,3,2,3,1,4,2,1,3,2,4,2,1,1,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,3,4,2,2,3,4,2,2,2,2,2,3,3,3,2,2,2,2,1,4,1,2,4,1,2,3,3,2,45,Horstmann
4,1,4,4,2,3,2,2,2,3,1,4,3,2,2,2,2,3,3,3,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,2,2,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,46,Horstmann
4,2,1,3,1,2,4,4,3,1,2,4,4,4,4,1,2,3,4,4,4,1,2,4,4,4,2,1,3,4,4,4,2,1,1,4,4,4,2,2,2,4,4,2,1,2,4,1,4,2,1,2,4,4,2,1,4,4,4,2,1,2,2,1,4,4,4,3,3,3,4,1,2,2,4,3,4,2,3,4,1,2,1,4,3,2,4,1,2,1,4,2,1,4,1,3,2,4,1,2,47,Horstmann
3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,1,2,2,2,2,2,2,4,4,2,3,3,3,3,3,1,3,3,3,2,2,2,4,2,4,2,3,2,4,4,4,4,4,4,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,48,Horstmann
2,1,1,4,4,4,4,3,2,2,4,4,4,2,2,1,3,2,1,1,2,2,2,2,2,1,1,1,4,4,2,2,1,3,2,4,4,4,2,4,2,4,2,4,4,4,2,2,2,3,3,3,3,2,1,2,4,4,4,4,2,4,2,4,2,3,4,2,4,4,3,4,2,2,4,2,2,2,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,1,2,4,4,3,3,49,Horstmann
4,2,1,3,1,2,2,1,1,1,2,2,2,2,2,4,2,2,2,3,3,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,4,3,4,4,2,2,2,2,2,2,2,1,2,2,2,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,50,Horstmann
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,3,3,2,4,1,3,3,1,4,2,4,1,3,1,1,4,2,2,4,1,3,3,1,4,2,4,1,3,3,3,3,1,1,4,2,2,4,1,3,3,3,1,1,4,4,2,2,2,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,1,4,4,1,1,3,4,1,4,1,1,4,1,4,1,3,51,Horstmann
2,4,4,2,2,1,3,2,1,1,4,4,4,3,4,1,4,4,4,2,4,4,4,2,4,4,2,2,2,4,2,2,2,2,2,4,4,4,3,1,1,1,2,2,4,2,2,2,2,2,2,1,2,2,2,4,2,2,4,4,2,2,4,4,2,2,4,2,2,4,4,2,2,2,4,2,4,2,1,3,3,4,4,2,2,2,4,4,4,2,2,4,4,2,2,4,4,2,2,4,52,Horstmann
1,4,3,4,2,2,2,2,4,1,2,1,2,3,2,1,4,1,2,1,3,1,4,2,2,1,2,4,2,1,2,3,3,3,4,1,2,2,1,2,2,2,1,2,2,1,3,4,2,1,2,4,2,2,1,2,1,4,3,4,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,4,4,3,3,3,2,2,2,2,1,2,1,2,1,4,3,4,3,53,Horstmann
1,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,4,4,4,2,4,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,54,Horstmann
1,4,4,4,3,4,4,4,4,4,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,1,4,4,2,2,4,3,2,2,2,2,2,4,3,4,2,4,3,4,3,3,2,4,4,4,4,3,3,4,3,4,4,2,2,2,2,2,4,2,2,2,4,4,3,4,2,2,4,3,4,4,3,4,2,4,3,4,4,3,55,Horstmann
2,2,2,2,2,2,2,2,2,2,4,4,3,4,1,1,2,4,2,4,1,2,2,2,4,3,4,2,2,1,3,4,4,4,2,4,1,2,4,3,4,2,1,4,4,3,4,4,1,2,4,4,3,3,3,1,2,4,4,1,4,4,3,1,4,4,3,3,2,1,4,4,2,4,3,3,1,4,4,2,1,4,3,4,3,1,3,4,3,2,1,3,4,2,1,2,3,4,4,1,56,Horstmann
2,2,2,3,4,1,2,2,2,2,3,4,1,1,1,1,1,2,2,2,3,3,3,2,2,1,4,4,2,3,2,3,2,4,2,4,2,4,2,4,2,2,2,4,3,1,4,4,4,4,2,2,3,4,1,2,2,4,3,2,1,2,2,1,4,3,2,4,4,4,3,2,2,1,4,3,3,4,2,1,2,2,4,3,3,4,3,3,2,4,1,1,1,1,4,2,4,2,3,2,57,Horstmann
1,2,3,2,2,4,2,1,1,2,2,2,4,2,2,1,2,2,2,4,4,4,2,2,2,4,4,4,3,3,4,4,2,2,2,4,2,2,2,2,1,3,1,1,1,2,2,2,4,4,3,2,1,2,2,3,4,2,4,1,3,2,2,2,4,4,2,2,2,3,4,4,2,2,4,2,1,4,4,4,4,2,2,4,4,2,2,2,2,3,3,2,2,2,4,4,4,2,2,4,58,Horstmann
3,2,3,4,2,3,2,3,2,3,2,1,3,2,3,2,2,2,3,2,3,3,4,3,2,4,3,4,2,1,4,3,2,1,1,3,2,4,3,3,3,3,4,2,2,3,2,4,2,1,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,4,2,3,2,3,4,2,3,2,3,2,3,4,2,3,2,3,2,3,4,3,2,3,2,59,Horstmann
1,1,1,1,1,1,1,3,1,2,2,2,2,4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,3,2,2,1,4,2,1,2,2,2,2,1,2,3,2,1,2,4,3,2,1,1,1,4,3,4,4,2,1,1,2,3,4,1,3,3,2,2,1,1,2,2,2,2,4,1,3,4,2,4,3,4,1,4,3,4,2,1,4,2,60,Horstmann
1,2,1,3,4,4,4,1,2,2,2,2,3,2,2,2,2,4,1,1,1,2,1,3,4,4,4,4,4,2,1,3,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,4,3,4,2,1,2,3,3,2,4,3,2,3,3,3,4,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,61,Horstmann
